"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.17598593478E+001, +0.00000000000E+000
+1.99900000000E+006, +2.33575182249E+001, +0.00000000000E+000
+2.99800000000E+006, +2.37314462286E+001, +0.00000000000E+000
+3.99700000000E+006, +2.38614000963E+001, +0.00000000000E+000
+4.99600000000E+006, +2.38850924824E+001, +0.00000000000E+000
+5.99500000000E+006, +2.38637733034E+001, +0.00000000000E+000
+6.99400000000E+006, +2.38405488424E+001, +0.00000000000E+000
+7.99300000000E+006, +2.37941640379E+001, +0.00000000000E+000
+8.99200000000E+006, +2.37549522839E+001, +0.00000000000E+000
+9.99100000000E+006, +2.36900633574E+001, +0.00000000000E+000
+1.09900000000E+007, +2.36439297557E+001, +0.00000000000E+000
+1.19890000000E+007, +2.35902590675E+001, +0.00000000000E+000
+1.29880000000E+007, +2.35412912309E+001, +0.00000000000E+000
+1.39870000000E+007, +2.34816087703E+001, +0.00000000000E+000
+1.49860000000E+007, +2.34242777644E+001, +0.00000000000E+000
+1.59850000000E+007, +2.33513252204E+001, +0.00000000000E+000
+1.69840000000E+007, +2.33030523290E+001, +0.00000000000E+000
+1.79830000000E+007, +2.32344814210E+001, +0.00000000000E+000
+1.89820000000E+007, +2.31819234619E+001, +0.00000000000E+000
+1.99810000000E+007, +2.31325487812E+001, +0.00000000000E+000
+2.09800000000E+007, +2.30665490820E+001, +0.00000000000E+000
+2.19790000000E+007, +2.30095137151E+001, +0.00000000000E+000
+2.29780000000E+007, +2.29595696729E+001, +0.00000000000E+000
+2.39770000000E+007, +2.29197765316E+001, +0.00000000000E+000
+2.49760000000E+007, +2.28778962957E+001, +0.00000000000E+000
+2.59750000000E+007, +2.28208906014E+001, +0.00000000000E+000
+2.69740000000E+007, +2.27814292106E+001, +0.00000000000E+000
+2.79730000000E+007, +2.27335580058E+001, +0.00000000000E+000
+2.89720000000E+007, +2.26993056808E+001, +0.00000000000E+000
+2.99710000000E+007, +2.26513795924E+001, +0.00000000000E+000
+3.09700000000E+007, +2.26213545417E+001, +0.00000000000E+000
+3.19690000000E+007, +2.25746168492E+001, +0.00000000000E+000
+3.29680000000E+007, +2.25410866316E+001, +0.00000000000E+000
+3.39670000000E+007, +2.25050906237E+001, +0.00000000000E+000
+3.49660000000E+007, +2.24881139801E+001, +0.00000000000E+000
+3.59650000000E+007, +2.24402491387E+001, +0.00000000000E+000
+3.69640000000E+007, +2.24237474489E+001, +0.00000000000E+000
+3.79630000000E+007, +2.24149200680E+001, +0.00000000000E+000
+3.89620000000E+007, +2.23949033531E+001, +0.00000000000E+000
+3.99610000000E+007, +2.23648247813E+001, +0.00000000000E+000
+4.09600000000E+007, +2.23445050553E+001, +0.00000000000E+000
+4.19590000000E+007, +2.23390024947E+001, +0.00000000000E+000
+4.29580000000E+007, +2.23142829769E+001, +0.00000000000E+000
+4.39570000000E+007, +2.23061372044E+001, +0.00000000000E+000
+4.49560000000E+007, +2.22742252396E+001, +0.00000000000E+000
+4.59550000000E+007, +2.22763766938E+001, +0.00000000000E+000
+4.69540000000E+007, +2.22541338562E+001, +0.00000000000E+000
+4.79530000000E+007, +2.22447681086E+001, +0.00000000000E+000
+4.89520000000E+007, +2.22449297790E+001, +0.00000000000E+000
+4.99510000000E+007, +2.22262958272E+001, +0.00000000000E+000
+5.09500000000E+007, +2.22124136132E+001, +0.00000000000E+000
+5.19490000000E+007, +2.22176958590E+001, +0.00000000000E+000
+5.29480000000E+007, +2.21964158681E+001, +0.00000000000E+000
+5.39470000000E+007, +2.21772204596E+001, +0.00000000000E+000
+5.49460000000E+007, +2.21677543370E+001, +0.00000000000E+000
