"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.49094904189E+001, +0.00000000000E+000
+2.00000000000E+006, +2.48648672552E+001, +0.00000000000E+000
+3.00000000000E+006, +2.48522046331E+001, +0.00000000000E+000
+4.00000000000E+006, +2.48756425536E+001, +0.00000000000E+000
+5.00000000000E+006, +2.48684175907E+001, +0.00000000000E+000
+6.00000000000E+006, +2.48663057721E+001, +0.00000000000E+000
+7.00000000000E+006, +2.49155716138E+001, +0.00000000000E+000
+8.00000000000E+006, +2.49100866189E+001, +0.00000000000E+000
+9.00000000000E+006, +2.48692917685E+001, +0.00000000000E+000
+1.00000000000E+007, +2.49102812322E+001, +0.00000000000E+000
+1.10000000000E+007, +2.49261371138E+001, +0.00000000000E+000
+1.20000000000E+007, +2.48985269266E+001, +0.00000000000E+000
+1.30000000000E+007, +2.49441130121E+001, +0.00000000000E+000
+1.40000000000E+007, +2.49379264431E+001, +0.00000000000E+000
+1.50000000000E+007, +2.48946577831E+001, +0.00000000000E+000
+1.60000000000E+007, +2.49343277398E+001, +0.00000000000E+000
+1.70000000000E+007, +2.49325699949E+001, +0.00000000000E+000
+1.80000000000E+007, +2.48778995363E+001, +0.00000000000E+000
+1.90000000000E+007, +2.49346343255E+001, +0.00000000000E+000
+2.00000000000E+007, +2.49153917571E+001, +0.00000000000E+000
+2.10000000000E+007, +2.48645015694E+001, +0.00000000000E+000
+2.20000000000E+007, +2.49433528430E+001, +0.00000000000E+000
+2.30000000000E+007, +2.49489144716E+001, +0.00000000000E+000
+2.40000000000E+007, +2.49678075369E+001, +0.00000000000E+000
+2.50000000000E+007, +2.49814706370E+001, +0.00000000000E+000
+2.60000000000E+007, +2.49922024084E+001, +0.00000000000E+000
+2.70000000000E+007, +2.49840491903E+001, +0.00000000000E+000
+2.80000000000E+007, +2.49779823012E+001, +0.00000000000E+000
+2.90000000000E+007, +2.49618829490E+001, +0.00000000000E+000
+3.00000000000E+007, +2.49550504057E+001, +0.00000000000E+000
+3.10000000000E+007, +2.49631587994E+001, +0.00000000000E+000
+3.20000000000E+007, +2.49255050318E+001, +0.00000000000E+000
+3.30000000000E+007, +2.49068155502E+001, +0.00000000000E+000
+3.40000000000E+007, +2.48840932310E+001, +0.00000000000E+000
+3.50000000000E+007, +2.48924685392E+001, +0.00000000000E+000
+3.60000000000E+007, +2.48958499187E+001, +0.00000000000E+000
+3.70000000000E+007, +2.48745884271E+001, +0.00000000000E+000
+3.80000000000E+007, +2.48683924611E+001, +0.00000000000E+000
+3.90000000000E+007, +2.48603051405E+001, +0.00000000000E+000
+4.00000000000E+007, +2.48592526824E+001, +0.00000000000E+000
+4.10000000000E+007, +2.48395431415E+001, +0.00000000000E+000
+4.20000000000E+007, +2.48285822748E+001, +0.00000000000E+000
+4.30000000000E+007, +2.48269327041E+001, +0.00000000000E+000
+4.40000000000E+007, +2.47993953361E+001, +0.00000000000E+000
+4.50000000000E+007, +2.47980081527E+001, +0.00000000000E+000
+4.60000000000E+007, +2.47997969729E+001, +0.00000000000E+000
+4.70000000000E+007, +2.48016259654E+001, +0.00000000000E+000
+4.80000000000E+007, +2.47920177349E+001, +0.00000000000E+000
+4.90000000000E+007, +2.47950995657E+001, +0.00000000000E+000
+5.00000000000E+007, +2.47794313489E+001, +0.00000000000E+000
+5.10000000000E+007, +2.47744625378E+001, +0.00000000000E+000
+5.20000000000E+007, +2.47569769791E+001, +0.00000000000E+000
+5.30000000000E+007, +2.47664784951E+001, +0.00000000000E+000
+5.40000000000E+007, +2.47550002094E+001, +0.00000000000E+000
+5.50000000000E+007, +2.47712280856E+001, +0.00000000000E+000
+5.60000000000E+007, +2.47691245283E+001, +0.00000000000E+000
+5.70000000000E+007, +2.47721262270E+001, +0.00000000000E+000
+5.80000000000E+007, +2.47681123790E+001, +0.00000000000E+000
+5.90000000000E+007, +2.47780388228E+001, +0.00000000000E+000
+6.00000000000E+007, +2.47780295092E+001, +0.00000000000E+000
+6.10000000000E+007, +2.47798725125E+001, +0.00000000000E+000
+6.20000000000E+007, +2.47916297419E+001, +0.00000000000E+000
+6.30000000000E+007, +2.47670683622E+001, +0.00000000000E+000
+6.40000000000E+007, +2.48084930388E+001, +0.00000000000E+000
+6.50000000000E+007, +2.47983295639E+001, +0.00000000000E+000
+6.60000000000E+007, +2.47847922640E+001, +0.00000000000E+000
+6.70000000000E+007, +2.47719305824E+001, +0.00000000000E+000
+6.80000000000E+007, +2.47846634211E+001, +0.00000000000E+000
+6.90000000000E+007, +2.47282573242E+001, +0.00000000000E+000
+7.00000000000E+007, +2.47024889279E+001, +0.00000000000E+000
+7.10000000000E+007, +2.47064384838E+001, +0.00000000000E+000
+7.20000000000E+007, +2.46977413917E+001, +0.00000000000E+000
+7.30000000000E+007, +2.47155697789E+001, +0.00000000000E+000
+7.40000000000E+007, +2.47123979766E+001, +0.00000000000E+000
+7.50000000000E+007, +2.47237012266E+001, +0.00000000000E+000
+7.60000000000E+007, +2.47214749714E+001, +0.00000000000E+000
+7.70000000000E+007, +2.47227012862E+001, +0.00000000000E+000
+7.80000000000E+007, +2.47143697528E+001, +0.00000000000E+000
+7.90000000000E+007, +2.47167076094E+001, +0.00000000000E+000
+8.00000000000E+007, +2.47311662274E+001, +0.00000000000E+000
+8.10000000000E+007, +2.47183437836E+001, +0.00000000000E+000
+8.20000000000E+007, +2.47273102597E+001, +0.00000000000E+000
+8.30000000000E+007, +2.47124231782E+001, +0.00000000000E+000
+8.40000000000E+007, +2.47370702669E+001, +0.00000000000E+000
+8.50000000000E+007, +2.47203392863E+001, +0.00000000000E+000
+8.60000000000E+007, +2.47371899376E+001, +0.00000000000E+000
+8.70000000000E+007, +2.47245803398E+001, +0.00000000000E+000
