"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -7.39328751747E+001, +0.00000000000E+000
+1.00250000000E+008, -7.55629978740E+001, +0.00000000000E+000
+1.00500000000E+008, -7.51096366354E+001, +0.00000000000E+000
+1.00750000000E+008, -7.46420148378E+001, +0.00000000000E+000
+1.01000000000E+008, -7.46101430090E+001, +0.00000000000E+000
+1.01250000000E+008, -7.80190663086E+001, +0.00000000000E+000
+1.01500000000E+008, -7.48247999666E+001, +0.00000000000E+000
+1.01750000000E+008, -7.85954777122E+001, +0.00000000000E+000
+1.02000000000E+008, -7.92168358709E+001, +0.00000000000E+000
+1.02250000000E+008, -7.65161192637E+001, +0.00000000000E+000
+1.02500000000E+008, -7.73815119265E+001, +0.00000000000E+000
+1.02750000000E+008, -7.72319317714E+001, +0.00000000000E+000
+1.03000000000E+008, -7.88871912285E+001, +0.00000000000E+000
+1.03250000000E+008, -7.75020044451E+001, +0.00000000000E+000
+1.03500000000E+008, -7.58462808797E+001, +0.00000000000E+000
+1.03750000000E+008, -7.85189632865E+001, +0.00000000000E+000
+1.04000000000E+008, -7.85317622881E+001, +0.00000000000E+000
+1.04250000000E+008, -8.26030714687E+001, +0.00000000000E+000
+1.04500000000E+008, -7.70477100962E+001, +0.00000000000E+000
+1.04750000000E+008, -7.81193096729E+001, +0.00000000000E+000
+1.05000000000E+008, -8.15207756267E+001, +0.00000000000E+000
+1.05250000000E+008, -8.10952027868E+001, +0.00000000000E+000
+1.05500000000E+008, -8.09570285214E+001, +0.00000000000E+000
+1.05750000000E+008, -8.18309381596E+001, +0.00000000000E+000
+1.06000000000E+008, -8.14669755722E+001, +0.00000000000E+000
+1.06250000000E+008, -8.23217423866E+001, +0.00000000000E+000
+1.06500000000E+008, -7.78523464071E+001, +0.00000000000E+000
+1.06750000000E+008, -7.63490609894E+001, +0.00000000000E+000
+1.07000000000E+008, -7.99410620560E+001, +0.00000000000E+000
+1.07250000000E+008, -7.83251540921E+001, +0.00000000000E+000
+1.07500000000E+008, -7.59685156395E+001, +0.00000000000E+000
+1.07750000000E+008, -7.83345227334E+001, +0.00000000000E+000
+1.08000000000E+008, -7.65552384344E+001, +0.00000000000E+000
+1.08250000000E+008, -7.44271728007E+001, +0.00000000000E+000
+1.08500000000E+008, -7.98381847547E+001, +0.00000000000E+000
+1.08750000000E+008, -7.63533943701E+001, +0.00000000000E+000
+1.09000000000E+008, -7.62603857654E+001, +0.00000000000E+000
+1.09250000000E+008, -7.59779030692E+001, +0.00000000000E+000
+1.09500000000E+008, -7.37877797467E+001, +0.00000000000E+000
+1.09750000000E+008, -7.60446191409E+001, +0.00000000000E+000
+1.10000000000E+008, -7.63737619041E+001, +0.00000000000E+000
