"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -8.73965477566E+001, +0.00000000000E+000
+1.00250000000E+008, -8.50948619675E+001, +0.00000000000E+000
+1.00500000000E+008, -8.56562748832E+001, +0.00000000000E+000
+1.00750000000E+008, -9.23662417444E+001, +0.00000000000E+000
+1.01000000000E+008, -8.15223799449E+001, +0.00000000000E+000
+1.01250000000E+008, -8.56068689348E+001, +0.00000000000E+000
+1.01500000000E+008, -1.16522261242E+002, +0.00000000000E+000
+1.01750000000E+008, -8.78944891279E+001, +0.00000000000E+000
+1.02000000000E+008, -8.32560350078E+001, +0.00000000000E+000
+1.02250000000E+008, -8.14639431399E+001, +0.00000000000E+000
+1.02500000000E+008, -8.11260920191E+001, +0.00000000000E+000
+1.02750000000E+008, -7.75783396692E+001, +0.00000000000E+000
+1.03000000000E+008, -7.73470478826E+001, +0.00000000000E+000
+1.03250000000E+008, -7.66964807095E+001, +0.00000000000E+000
+1.03500000000E+008, -7.74206890335E+001, +0.00000000000E+000
+1.03750000000E+008, -7.78947285699E+001, +0.00000000000E+000
+1.04000000000E+008, -7.49487081915E+001, +0.00000000000E+000
+1.04250000000E+008, -7.53660140865E+001, +0.00000000000E+000
+1.04500000000E+008, -7.56727982675E+001, +0.00000000000E+000
+1.04750000000E+008, -7.38952514436E+001, +0.00000000000E+000
+1.05000000000E+008, -7.29605941990E+001, +0.00000000000E+000
+1.05250000000E+008, -7.29329215283E+001, +0.00000000000E+000
+1.05500000000E+008, -7.01413586808E+001, +0.00000000000E+000
+1.05750000000E+008, -7.38433154020E+001, +0.00000000000E+000
+1.06000000000E+008, -7.21491554208E+001, +0.00000000000E+000
+1.06250000000E+008, -7.19347266480E+001, +0.00000000000E+000
+1.06500000000E+008, -6.90238599276E+001, +0.00000000000E+000
+1.06750000000E+008, -7.03226805639E+001, +0.00000000000E+000
+1.07000000000E+008, -6.91807456391E+001, +0.00000000000E+000
+1.07250000000E+008, -6.97671662776E+001, +0.00000000000E+000
+1.07500000000E+008, -7.08558290624E+001, +0.00000000000E+000
+1.07750000000E+008, -6.93522508052E+001, +0.00000000000E+000
+1.08000000000E+008, -6.92768727237E+001, +0.00000000000E+000
+1.08250000000E+008, -6.81179859214E+001, +0.00000000000E+000
+1.08500000000E+008, -6.85041380447E+001, +0.00000000000E+000
+1.08750000000E+008, -6.79192585274E+001, +0.00000000000E+000
