"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -7.34987228907E+001, +0.00000000000E+000
+1.00250000000E+008, -7.37880994757E+001, +0.00000000000E+000
+1.00500000000E+008, -7.43841966049E+001, +0.00000000000E+000
+1.00750000000E+008, -7.34485933911E+001, +0.00000000000E+000
+1.01000000000E+008, -7.46514002802E+001, +0.00000000000E+000
+1.01250000000E+008, -7.73319742181E+001, +0.00000000000E+000
+1.01500000000E+008, -7.43252026021E+001, +0.00000000000E+000
+1.01750000000E+008, -7.39030306296E+001, +0.00000000000E+000
+1.02000000000E+008, -7.46259330770E+001, +0.00000000000E+000
+1.02250000000E+008, -7.58104688430E+001, +0.00000000000E+000
+1.02500000000E+008, -7.67392683987E+001, +0.00000000000E+000
+1.02750000000E+008, -7.73514890985E+001, +0.00000000000E+000
+1.03000000000E+008, -7.63971991396E+001, +0.00000000000E+000
+1.03250000000E+008, -7.60244860192E+001, +0.00000000000E+000
+1.03500000000E+008, -7.49588927326E+001, +0.00000000000E+000
+1.03750000000E+008, -7.62328832560E+001, +0.00000000000E+000
+1.04000000000E+008, -7.81449911705E+001, +0.00000000000E+000
+1.04250000000E+008, -8.13477429013E+001, +0.00000000000E+000
+1.04500000000E+008, -7.49061802164E+001, +0.00000000000E+000
+1.04750000000E+008, -7.73877626185E+001, +0.00000000000E+000
+1.05000000000E+008, -7.72084012061E+001, +0.00000000000E+000
+1.05250000000E+008, -7.86596070650E+001, +0.00000000000E+000
+1.05500000000E+008, -7.56084241831E+001, +0.00000000000E+000
+1.05750000000E+008, -8.11616152891E+001, +0.00000000000E+000
+1.06000000000E+008, -7.86732473265E+001, +0.00000000000E+000
+1.06250000000E+008, -7.61648831514E+001, +0.00000000000E+000
+1.06500000000E+008, -7.87513607374E+001, +0.00000000000E+000
+1.06750000000E+008, -7.97553080946E+001, +0.00000000000E+000
+1.07000000000E+008, -7.80703384004E+001, +0.00000000000E+000
+1.07250000000E+008, -8.02673406167E+001, +0.00000000000E+000
+1.07500000000E+008, -7.77259682866E+001, +0.00000000000E+000
+1.07750000000E+008, -7.90437388429E+001, +0.00000000000E+000
+1.08000000000E+008, -7.99862781025E+001, +0.00000000000E+000
+1.08250000000E+008, -8.03854554701E+001, +0.00000000000E+000
+1.08500000000E+008, -7.78783198484E+001, +0.00000000000E+000
+1.08750000000E+008, -7.64791358913E+001, +0.00000000000E+000
+1.09000000000E+008, -7.66158095282E+001, +0.00000000000E+000
+1.09250000000E+008, -7.74398665915E+001, +0.00000000000E+000
+1.09500000000E+008, -7.75127628599E+001, +0.00000000000E+000
+1.09750000000E+008, -7.67051996979E+001, +0.00000000000E+000
+1.10000000000E+008, -7.89485982540E+001, +0.00000000000E+000
+1.10250000000E+008, -7.53501666376E+001, +0.00000000000E+000
+1.10500000000E+008, -7.62488622791E+001, +0.00000000000E+000
+1.10750000000E+008, -7.42919756502E+001, +0.00000000000E+000
+1.11000000000E+008, -7.26334513276E+001, +0.00000000000E+000
+1.11250000000E+008, -7.40171141413E+001, +0.00000000000E+000
+1.11500000000E+008, -7.32367050283E+001, +0.00000000000E+000
+1.11750000000E+008, -7.22968807786E+001, +0.00000000000E+000
+1.12000000000E+008, -7.14313547496E+001, +0.00000000000E+000
+1.12250000000E+008, -7.29150640849E+001, +0.00000000000E+000
+1.12500000000E+008, -7.04969774081E+001, +0.00000000000E+000
+1.12750000000E+008, -7.19107896444E+001, +0.00000000000E+000
+1.13000000000E+008, -7.00969987224E+001, +0.00000000000E+000
+1.13250000000E+008, -6.91935440304E+001, +0.00000000000E+000
+1.13500000000E+008, -6.92364570161E+001, +0.00000000000E+000
+1.13750000000E+008, -6.97225887549E+001, +0.00000000000E+000
+1.14000000000E+008, -6.93805060073E+001, +0.00000000000E+000
+1.14250000000E+008, -6.86124080949E+001, +0.00000000000E+000
+1.14500000000E+008, -6.81315457136E+001, +0.00000000000E+000
+1.14750000000E+008, -6.72558267261E+001, +0.00000000000E+000
+1.15000000000E+008, -6.73649583964E+001, +0.00000000000E+000
+1.15250000000E+008, -6.71091610726E+001, +0.00000000000E+000
+1.15500000000E+008, -6.67976600923E+001, +0.00000000000E+000
+1.15750000000E+008, -6.65046080404E+001, +0.00000000000E+000
+1.16000000000E+008, -6.54950212400E+001, +0.00000000000E+000
+1.16250000000E+008, -6.54426198852E+001, +0.00000000000E+000
+1.16500000000E+008, -6.49506412465E+001, +0.00000000000E+000
+1.16750000000E+008, -6.48522760109E+001, +0.00000000000E+000
+1.17000000000E+008, -6.48739111716E+001, +0.00000000000E+000
+1.17250000000E+008, -6.42170545927E+001, +0.00000000000E+000
+1.17500000000E+008, -6.32496456095E+001, +0.00000000000E+000
+1.17750000000E+008, -6.36394116810E+001, +0.00000000000E+000
+1.18000000000E+008, -6.27282949008E+001, +0.00000000000E+000
+1.18250000000E+008, -6.20847683560E+001, +0.00000000000E+000
+1.18500000000E+008, -6.13709823680E+001, +0.00000000000E+000
+1.18750000000E+008, -6.14553232561E+001, +0.00000000000E+000
+1.19000000000E+008, -6.09698409341E+001, +0.00000000000E+000
+1.19250000000E+008, -6.05748144304E+001, +0.00000000000E+000
+1.19500000000E+008, -6.01329481348E+001, +0.00000000000E+000
+1.19750000000E+008, -5.95669255007E+001, +0.00000000000E+000
+1.20000000000E+008, -5.87259548814E+001, +0.00000000000E+000
+1.20250000000E+008, -5.83087028139E+001, +0.00000000000E+000
+1.20500000000E+008, -5.78867112202E+001, +0.00000000000E+000
+1.20750000000E+008, -5.70270783388E+001, +0.00000000000E+000
+1.21000000000E+008, -5.67084695172E+001, +0.00000000000E+000
+1.21250000000E+008, -5.58090108500E+001, +0.00000000000E+000
+1.21500000000E+008, -5.52186576489E+001, +0.00000000000E+000
+1.21750000000E+008, -5.45333422481E+001, +0.00000000000E+000
+1.22000000000E+008, -5.36217632345E+001, +0.00000000000E+000
+1.22250000000E+008, -5.26683882739E+001, +0.00000000000E+000
+1.22500000000E+008, -5.17225916302E+001, +0.00000000000E+000
+1.22750000000E+008, -5.07092120141E+001, +0.00000000000E+000
+1.23000000000E+008, -4.95863448626E+001, +0.00000000000E+000
+1.23250000000E+008, -4.81254428873E+001, +0.00000000000E+000
+1.23500000000E+008, -4.65608886837E+001, +0.00000000000E+000
